2023371,高勇,21,99.0,90.0,97.0
2026325,宋彪,38,99.0,95.0,89.5
2023344,周娟,19,97.0,96.0,74.0
2023510,周娜,19,91.0,100.0,75.0
2024862,郭霞,20,92.0,82.0,92.0
2025678,何艳,20,68.0,97.0,100.0
2024478,吴丽,21,89.0,100.0,74.0
2023719,赵华,20,68.0,98.0,95.0
2023316,郭飞,19,100.0,74.0,80.0
2024786,周华,18,93.0,95.0,65.0
2024231,林霞,19,71.0,88.0,93.0
2025765,郭涛,19,83.0,92.0,72.0
2025846,黄丽,21,79.0,72.0,95.0
2023423,王伟,21,94.0,91.0,61.0
2023710,高秀,20,90.0,55.0,98.0
2024692,罗芳,22,60.0,81.0,97.0
2023617,林洋,18,60.0,95.0,82.0
2023180,郭勇,22,78.0,91.0,67.0
2023718,周鑫,18,84.0,89.0,62.0
2025217,郭飞,20,96.0,76.0,62.0
2024999,马娜,18,86.0,59.0,89.0
2025684,马超,19,85.0,81.0,67.0
2024709,王英,19,80.0,62.0,91.0
2025956,张娜,19,65.0,81.0,86.0
2025926,何伟,22,74.0,97.0,61.0
2024256,杨鑫,21,93.0,59.0,79.0
2023145,张艳,19,95.0,71.0,65.0
2024370,刘轩,18,90.0,64.0,72.0
2023545,杨明,18,71.0,87.0,66.0
2025208,吴博,22,93.0,67.0,64.0
2023880,杨霞,22,55.0,93.0,75.0
2024199,朱杰,21,81.0,84.0,58.0
2024489,周明,20,65.0,78.0,77.0
2025343,周英,21,68.0,89.0,63.0
2024294,郭明,19,82.0,66.0,72.0
2025598,陈强,20,68.0,58.0,92.0
2024881,徐敏,18,79.0,61.0,77.0
2023121,马霞,19,92.0,69.0,55.0
2023355,王明,22,61.0,58.0,96.0
2024323,黄秀,22,56.0,90.0,67.0
2023614,何丽,18,87.0,60.0,66.0
2024877,杨华,21,76.0,72.0,64.0
2025655,李鹏,20,58.0,58.0,92.0
2025769,刘芳,21,76.0,61.0,70.0
2025552,郭华,21,90.0,55.0,62.0
2023470,黄静,22,86.0,60.0,58.0
2025214,张鹏,20,70.0,69.0,63.0
2025171,李英,19,73.0,60.0,69.0
2023119,刘怡,20,74.0,70.0,58.0
2023318,胡轩,18,65.0,79.0,55.0
2024650,赵秀,20,63.0,77.0,59.0
2024771,林娟,21,64.0,71.0,63.0
2023548,何明,18,70.0,69.0,59.0
2025204,郭娜,22,82.0,57.0,56.0
2024824,李磊,18,57.0,76.0,59.0
2025670,黄英,20,58.0,69.0,57.0
